Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies)
1209118460952271,2025-01-09,,2025-01-09,Alimentación por persona,Untitled section,,,,,,, PRODUCCION FOTOGRAFICA DE PRODUCTOS ,,,
1209118460952273,2025-01-09,,2025-01-09,Transporte de los productos ,Untitled section,,,,,,, PRODUCCION FOTOGRAFICA DE PRODUCTOS ,,,
1209118460952275,2025-01-09,,2025-01-09,Indumentaria deportiva acorde a los productos,Untitled section,,,,,,, PRODUCCION FOTOGRAFICA DE PRODUCTOS ,,,
1209118460952277,2025-01-09,,2025-01-09,Tramitar permiso en la locación ,Untitled section,,,,,,, PRODUCCION FOTOGRAFICA DE PRODUCTOS ,,,
1209118460952279,2025-01-09,,2025-01-09,Gestionar asistente,Untitled section,,,,,,, PRODUCCION FOTOGRAFICA DE PRODUCTOS ,,,
1209118460952259,2025-01-09,2025-01-09,2025-01-09,CONTRATOS CON MODELOS ,Untitled section,Aleja Guerra lotero,,,,,, PRODUCCION FOTOGRAFICA DE PRODUCTOS ,,,
1209118460952261,2025-01-09,2025-01-09,2025-01-09,CONTRATO CON FOTOGRAFO ,Untitled section,Aleja Guerra lotero,,,,,, PRODUCCION FOTOGRAFICA DE PRODUCTOS ,,,
1209118460952263,2025-01-09,2025-01-09,2025-01-09,CONTRATO CON EMPRESA VIZARI ,Untitled section,Aleja Guerra lotero,,,,,, PRODUCCION FOTOGRAFICA DE PRODUCTOS ,,,
1209118460952281,2025-01-09,,2025-01-09,FIRMA DE TODOS LOS CONTRATOS ,Untitled section,Aleja Guerra lotero,,,,,, PRODUCCION FOTOGRAFICA DE PRODUCTOS ,,,
1209118460952283,2025-01-09,,2025-01-09,Imprecion de imagenes de referencia ,Untitled section,Aleja Guerra lotero,,,,,, PRODUCCION FOTOGRAFICA DE PRODUCTOS ,,,
