Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies)
1218256487493479,2026-09-07,,2026-09-07,PINTURA,SPORTI,,,,,,"ENCARGADO: Stiven Peña
VALOR:15.000.000
PROFIT ALUZINA:500.000
FECHA DE COMIENZO: 03/08/2026
FECHA DE ENTREGA: 14/09/2026
RESPONSABILIDAD DE ALUZINA:Comunicacion fluida entre encargardo y cliente

",PROYECTOS ALUZINA SEPTIEMBRE-DICIEMBRE 2026,,,
1218256487493481,2026-09-07,,2026-09-07,TECHO CAÑA BRAVA,SPORTI,,,,,,"ENCARGADO: Lucho 
VALOR:11.000.000
PROFIT ALUZINA:1.300.000
PRIMER PAGO: 03/09/2026 1.300.000
SEGUNDO PAGO: Contra entrega
FECHA DE COMIENZO:19/09/2026
FECHA DE ENTREGA:09/10/2026
RESPONSABILIDAD DE ALUZINA: Alineación con los otros proveedores",PROYECTOS ALUZINA SEPTIEMBRE-DICIEMBRE 2026,,,
1218256487493483,2026-09-07,,2026-09-07,PEDIDO DE TEMU,SPORTI,,,,,,"ENCARGADO: Silvana y Saray
VALOR:15.000.000
PROFIT ALUZINA:0
FECHA DE COMIENZO:Primera semana de agosto
FECHA DE ENTREGA:No aplica
RESPONSABILIDAD DE ALUZINA:Estamos encarados del styling una vez lleguen las cosas",PROYECTOS ALUZINA SEPTIEMBRE-DICIEMBRE 2026,,,
1218256487493471,2026-09-07,,2026-09-07,TECHO EN ESTRUCTURA METALICA,BOSQUES DE LA CONCHA,,,,,,"ENCARGADO: Jorge Escobar
VALOR:2.600.000
PROFIT ALUZINA:0
PRIMER PAGO: 02/09/2026 1.300.000
SEGUNDO PAGO: Contra entrega
FECHA DE COMIENZO:
FECHA DE ENTREGA:
RESPONSABILIDAD DE ALUZINA: Alineacion con los otros proveedores

",PROYECTOS ALUZINA SEPTIEMBRE-DICIEMBRE 2026,,,
1218256487493485,2026-09-07,,2026-09-07,PERGOLITE MAN LON MINI MUROS 7.51M2,BOSQUES DE LA CONCHA,,,,,,"ENCARGADO: Ingeniera Paula Andrea Palacio 
EMPRESA: Parasoles tropicales
VALOR:8.300.000
PROFIT ALUZINA:0
PRIMER PAGO: No se ha realizado
SEGUNDO PAGO: Contra entrega
FECHA DE COMIENZO:
FECHA DE ENTREGA:
RESPONSABILIDAD DE ALUZINA: Supervision",PROYECTOS ALUZINA SEPTIEMBRE-DICIEMBRE 2026,,,
1218256487493487,2026-09-07,,2026-09-07,INSTALACION DE ILUMINACION,BOSQUES DE LA CONCHA,,,,,,"ENCARGADO: Stiven
VALOR:Aun no hay valor
PROFIT ALUZINA:
PRIMER PAGO: 
SEGUNDO PAGO: Contra entrega
FECHA DE COMIENZO:
FECHA DE ENTREGA:
RESPONSABILIDAD DE ALUZINA: ",PROYECTOS ALUZINA SEPTIEMBRE-DICIEMBRE 2026,,,
1218256487493489,2026-09-07,,2026-09-07,COMPRA DE ILUMINACION,,,,,,,"ENCARGADO: Miguel
VALOR CINTA LED CON ENVIO: 520 Dolares- 1.820.000
PROFIT ALUZINA:0
UNICO PAGO:
FECHA DE COMIENZO:
FECHA DE ENTREGA:
RESPONSABILIDAD DE ALUZINA: Compra",,INSTALACION DE ILUMINACION,,
1218256487493492,2026-09-07,,2026-09-07,PROCESO DE PAGINA WEB,SODIME,,,,,,"ENCARGADO: Alejandra Guerra
VALOR:2.600.000
PROFIT ALUZINA:0
PAGO REALIZADO: YA PAGO TOTALMENTE
RESPONSABILIDAD DE ALUZINA: Ejecución de página web
https://lovable.dev/projects/605501fd-d12d-4653-bc92-b6d9d1871048?magic_link=REDACTED

",PROYECTOS ALUZINA SEPTIEMBRE-DICIEMBRE 2026,,,
1218256487493494,2026-09-07,,2026-09-07,BRILLAR PISO,SODIME,,,,,,"ENCARGADO: PPBINGENIERIA
VALOR: 17.500M2=3.500.000
PROFIT ALUZINA:0
PRIMER PAGO: 02/09/2026 
SEGUNDO PAGO: Contra entrega
FECHA DE COMIENZO:
FECHA DE ENTREGA:
RESPONSABILIDAD DE ALUZINA: Contratación y entrega",PROYECTOS ALUZINA SEPTIEMBRE-DICIEMBRE 2026,,,
1218256487493502,2026-09-07,,2026-09-07,REDES SOCIALES ALUZINA,SODIME,,,,,,,PROYECTOS ALUZINA SEPTIEMBRE-DICIEMBRE 2026,,,
1218256487493496,2026-09-07,,2026-09-07,INSTAGRAM,SODIME,,,,,,"ENCARGADO: Alejandra Guerra
VALOR:2.000.000
PROFIT ALUZINA:0
ENTREGADO Y DESARROLLADO",PROYECTOS ALUZINA SEPTIEMBRE-DICIEMBRE 2026,,,
1218256487493498,2026-09-07,,2026-09-07,PINTURA Y ELECTRICIDAD DEL ESPACIO,SODIME,,,,,,"ENCARGADO: Alejandro Contratista
VALOR:13.900.000
DESCRIPCION: Pintura paredes, pintura techo,cambio de 20 toma corrientes, y cambio de 12 luminarias de techo
PROFIT ALUZINA:0
RESPONSABILIDAD DE ALUZINA: Acompañamiento de proveedor",PROYECTOS ALUZINA SEPTIEMBRE-DICIEMBRE 2026,,,
1218256487493500,2026-09-07,,2026-09-07,MOBILIARIO,SODIME,,,,,,"ENCARGADO: Laura Lezcano
VALOR:
PROFIT ALUZINA:0
PRIMER PAGO: 
SEGUNDO PAGO: Contra entrega
FECHA DE COMIENZO:
FECHA DE ENTREGA:
RESPONSABILIDAD DE ALUZINA: ",PROYECTOS ALUZINA SEPTIEMBRE-DICIEMBRE 2026,,,
